duration_ms,danceability,speechiness,popularity
203107,0.589,0.0459,61
228224,0.77,0.0287,61
214668,0.62,0.104,57
146039,0.776,0.0393,59
263870,0.622,0.145,60
219435,0.671,0.0525,58
264204,0.83,0.0308,62
249227,0.508,0.191,57
239856,0.689,0.314,57
245680,0.639,0.0495,65
227533,0.49,0.353,62
306560,0.833,0.0538,68
196867,0.674,0.0378,57
321827,0.503,0.0362,57
206413,0.699,0.0737,63
273440,0.698,0.0437,63
291133,0.689,0.0637,59
219627,0.69,0.102,61
240040,0.838,0.113,61
182404,0.49,0.0826,56
133080,0.509,0.158,58
241348,0.613,0.0339,60
225216,0.87,0.527,59
256667,0.893,0.396,58
240907,0.763,0.15,60
191530,0.594,0.0315,65
183868,0.79,0.265,55
205680,0.72,0.436,59
244959,0.531,0.063,55
249305,0.542,0.0265,59
187320,0.717,0.045,63
200387,0.746,0.0984,62
90159,0.559,0.147,60
245480,0.648,0.0506,61
164017,0.866,0.24,59
157860,0.411,0.0684,60
245933,0.387,0.081,61
234400,0.523,0.0491,66
188053,0.818,0.292,61
228812,0.663,0.371,61
169360,0.823,0.063,60
250558,0.597,0.102,63
185359,0.642,0.101,57
224066,0.42,0.0384,58
269467,0.664,0.0759,56
199120,0.694,0.0388,55
197813,0.775,0.0354,65
213280,0.654,0.0596,62
242947,0.838,0.384,66
253520,0.713,0.141,56
78743,0.541,0.162,63
260170,0.571,0.0565,58
252613,0.668,0.174,59
227507,0.403,0.0941,61
248093,0.741,0.0359,63
191504,0.65,0.0407,57
180496,0.705,0.0321,57
259339,0.703,0.514,58
286680,0.641,0.0463,62
248933,0.692,0.151,58
250707,0.667,0.0756,59
216000,0.611,0.17,56
128000,0.539,0.0469,56
209105,0.852,0.253,62
212280,0.735,0.0349,66
239653,0.673,0.0777,44
243865,0.624,0.034,60
251427,0.777,0.129,57
219133,0.717,0.136,57
184600,0.674,0.036,65
266000,0.68,0.0353,65
277600,0.464,0.0292,66
170543,0.693,0.161,62
233173,0.631,0.122,63
178469,0.4,0.0924,56
254147,0.664,0.118,63
211000,0.778,0.0632,56
184250,0.643,0.374,62
188738,0.783,0.173,59
277840,0.627,0.152,61
189766,0.703,0.0488,56
187036,0.583,0.0733,62
179027,0.637,0.0978,56
248434,0.544,0.178,58
177343,0.846,0.28,62
258693,0.734,0.032,58
215360,0.587,0.144,62
276000,0.746,0.0345,60
147360,0.593,0.201,57
249740,0.597,0.0278,61
140222,0.697,0.0298,55
313893,0.475,0.185,57
242011,0.551,0.0499,56
